section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,115,1763649049845747748,1763649050095996748,250,806.833,280.277,0.6355321080375933,19.995642873712693
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,116,1763649050196121748,1763649050631494748,435,787.341,352.958,-0.6628838233926291,15.33246605672581
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,117,1763649050676494748,1763649050921743748,245,899.015,290.518,6.812081225956966,19.287695093736865
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,118,1763649050971743748,1763649051587365748,616,772.232,309.522,-1.6783361182635905,18.118971885878047
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,119,1763649051622365748,1763649052207988748,586,733.466,306.82,-4.268761295928108,18.27693955493326
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,120,1763649052252988748,1763649052483237748,230,836.692,315.578,2.6212372818733845,17.725263541383523
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,121,1763649052533237748,1763649052873611748,340,962.441,311.293,11.000868979398062,17.88184749615706
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,122,1763649052918618748,1763649053343985748,425,834.358,290.812,2.4795197408189997,19.313760590962215
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,123,1763649053464112748,1763649053669358748,205,781.762,336.824,-1.0354748776872096,16.368387066529287
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,124,1763649053709358748,1763649053789360748,80,737.95,298.636,-3.977115367578879,18.803860524311943
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,125,1763649053844482748,1763649054049606748,205,986.804,317.574,12.60246840877619,17.44364822330114
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,126,1763649054084731748,1763649054244856748,160,1059.937,292.78,17.548628693198875,18.866540116093166
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,127,1763649054274856748,1763649054490108748,215,1017.951,260.902,14.87517638265518,20.979405555196653
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,128,1763649054545105748,1763649054725229748,180,815.93,313.057,1.2379730153084798,17.89275643905125
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,129,1763649054875478748,1763649055055603748,180,828.749,308.763,2.0949112204438136,18.165045218545366
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,130,1763649055090603748,1763649055230727748,140,847.286,383.588,3.2852505702937034,13.353630766229196
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,131,1763649055275852748,1763649055596101748,320,836.214,250.224,2.6313658455646904,21.91178922367163
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,132,1763649055686239748,1763649055986479748,300,778.453,252.683,-1.2828624444317072,21.761957104251888
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,133,1763649056031474748,1763649056121599748,90,882.088,260.644,5.722347584118797,21.213810640701908
